Date,crime_count
2020-01-01,596.1612903225806
2020-02-01,594.8965517241379
2020-03-01,521.1935483870968
2020-04-01,522.5333333333333
2020-05-01,554.8387096774194
2020-06-01,567.6
2020-07-01,552.0645161290323
2020-08-01,544.1612903225806
2020-09-01,521.0333333333333
2020-10-01,531.7741935483871
2020-11-01,518.8333333333334
2020-12-01,514.1935483870968
2021-01-01,533.3548387096774
2021-02-01,550.1785714285714
2021-03-01,526.258064516129
2021-04-01,535.0
2021-05-01,547.9677419354839
2021-06-01,571.5
2021-07-01,601.7741935483871
2021-08-01,592.4516129032259
2021-09-01,611.6333333333333
2021-10-01,622.1935483870968
2021-11-01,610.8666666666667
2021-12-01,577.9032258064516
2022-01-01,594.516129032258
2022-02-01,631.75
2022-03-01,634.8709677419355
2022-04-01,659.2666666666667
2022-05-01,658.0967741935484
2022-06-01,672.9333333333333
2022-07-01,642.9354838709677
2022-08-01,647.2258064516129
2022-09-01,642.0333333333333
2022-10-01,652.7096774193549
2022-11-01,621.8666666666667
2022-12-01,641.483870967742
2023-01-01,631.0
2023-02-01,652.2857142857143
2023-03-01,611.9677419354839
2023-04-01,623.1666666666666
2023-05-01,601.741935483871
2023-06-01,612.9
2023-07-01,630.483870967742
2023-08-01,625.1612903225806
2023-09-01,588.5333333333333
2023-10-01,426.44444444444446
